DNS,ORIGINPOOL
school16.example.com,school16-originpool
school17.example.com,school17-originpool
school18.example.com,school18-originpool
school19.example.com,school19-originpool
school20.example.com,school20-originpool
school21.example.com,school21-originpool
school22.example.com,school22-originpool
school23.example.com,school23-originpool
school24.example.com,school24-originpool
school25.example.com,school25-originpool
school26.example.com,school26-originpool
school27.example.com,school27-originpool
school28.example.com,school28-originpool
school29.example.com,school29-originpool
school30.example.com,school30-originpool
